279 1855 : Rup 6800 , Rdown1 68000 , down0H 6015 Rdown2H 5526.17712625819090724853 , down0L 26300 Rdown2L 18965.00530222693531283138 : VsplitH .44832855066522565497 VsplitL .73607612650433809123 , VdiffH 3.26714 VdiffL 2.80761 : diffH2 1067 diffL2 788 : diffF1 279 diffF2 1855
1778 1870 : Rup 5600 , Rdown1 47000 , down0H 6015 Rdown2H 5332.54739224747712911440 , down0L 26300 Rdown2L 16863.57435197817189631650 : VsplitH .48776805632957147219 VsplitL .75070752711681181600 , VdiffH 0.67681 VdiffL 4.27075 : diffH2 46 diffL2 1824 : diffF1 1778 diffF2 1870
51 1899 : Rup 4700 , Rdown1 27000 , down0H 6015 Rdown2H 4919.12766924125397546569 , down0L 26300 Rdown2L 13322.70168855534709193245 : VsplitH .51139020484892568853 VsplitL .73921778869676559686 , VdiffH 3.03902 VdiffL 3.12178 : diffH2 924 diffL2 975 : diffF1 51 diffF2 1899
1936 1946 : Rup 6800 , Rdown1 43000 , down0H 6015 Rdown2H 5276.85402427828215852290 , down0L 26300 Rdown2L 16318.90331890331890331890 : VsplitH .43693945572829999983 VsplitL .70586840101364425081 , VdiffH 4.40605 VdiffL 0.21316 : diffH2 1941 diffL2 5 : diffF1 1936 diffF2 1946
152 2048 : Rup 6800 , Rdown1 75000 , down0H 6015 Rdown2H 5568.41325680429550083317 , down0L 26300 Rdown2L 19471.86574531095755182625 : VsplitH .45021241942582385504 VsplitL .74116798304613465397 , VdiffH 3.07876 VdiffL 3.31680 : diffH2 948 diffL2 1100 : diffF1 152 diffF2 2048
839 2091 : Rup 3600 , Rdown1 11000 , down0H 6015 Rdown2H 3888.62768145753746694093 , down0L 26300 Rdown2L 7756.03217158176943699731 : VsplitH .51927106632448849857 VsplitL .68298786533830681335 , VdiffH 3.82711 VdiffL 2.50121 : diffH2 1465 diffL2 626 : diffF1 839 diffF2 2091
1191 2127 : Rup 5100 , Rdown1 36000 , down0H 6015 Rdown2H 5153.87361656551231702963 , down0L 26300 Rdown2L 15197.43178170144462279293 : VsplitH .50262698852063465535 VsplitL .74873668477616189414 , VdiffH 2.16270 VdiffL 4.07367 : diffH2 468 diffL2 1659 : diffF1 1191 diffF2 2127
836 2144 : Rup 6200 , Rdown1 27000 , down0H 6015 Rdown2H 4919.12766924125397546569 , down0L 26300 Rdown2L 13322.70168855534709193245 : VsplitH .44240230129284278312 VsplitL .68242100407472899208 , VdiffH 3.85977 VdiffL 2.55790 : diffH2 1490 diffL2 654 : diffF1 836 diffF2 2144
1480 2148 : Rup 3900 , Rdown1 11000 , down0H 6015 Rdown2H 3888.62768145753746694093 , down0L 26300 Rdown2L 7756.03217158176943699731 : VsplitH .49926994080295192928 VsplitL .66540929686960921866 , VdiffH 1.82699 VdiffL 4.25907 : diffH2 334 diffL2 1814 : diffF1 1480 diffF2 2148
1987 2177 : Rup 6200 , Rdown1 68000 , down0H 6015 Rdown2H 5526.17712625819090724853 , down0L 26300 Rdown2L 18965.00530222693531283138 : VsplitH .47126843358723743047 VsplitL .75362611986211895190 , VdiffH 0.97316 VdiffL 4.56261 : diffH2 95 diffL2 2082 : diffF1 1987 diffF2 2177
1946 2236 : Rup 3600 , Rdown1 12000 , down0H 6015 Rdown2H 4006.66111573688592839300 , down0L 26300 Rdown2L 8240.20887728459530026109 : VsplitH .52673059240772363063 VsplitL .69595130987033606774 , VdiffH 4.57306 VdiffL 1.20487 : diffH2 2091 diffL2 145 : diffF1 1946 diffF2 2236
549 2255 : Rup 6800 , Rdown1 82000 , down0H 6015 Rdown2H 5603.93114809975572345622 , down0L 26300 Rdown2L 19913.20406278855032317636 : VsplitH .45178670223095045304 VsplitL .74544423858640046456 , VdiffH 2.92133 VdiffL 3.74442 : diffH2 853 diffL2 1402 : diffF1 549 diffF2 2255
